X_km,Y_km,ConnectedBS,Handover,RSSI_BS1,RSSI_BS2,RSSI_BS3,RSSI_BS4
0,0,1,0,-74.6877761572594,-91.5998083936044,-94.94186492246,-89.8404172596997
0,0.153846153846154,1,0,-71.8422985827096,-91.166141663093,-94.1046141768716,-88.3645688575696
0,0.307692307692308,1,0,-69.7827731464606,-90.8445115091046,-93.2647262227188,-86.7709502364527
0,0.461538461538462,1,0,-69.5648387394232,-90.6504524942743,-92.4331258457663,-85.0530479436755
0,0.615384615384615,1,0,-71.3333095011648,-90.5940905905834,-91.6245684063097,-83.2145036948749
0,0.769230769230769,1,0,-74.1000078251106,-90.6784784677219,-90.8581862785391,-81.2826553075103
0,0.923076923076923,1,0,-77.0117144902406,-90.8990645102194,-90.1575941053945,-79.334376452416
0,1.07692307692308,4,1,-79.724868555847,-91.2444796039111,-89.5501513597699,-77.5360987057991
0,1.23076923076923,4,0,-82.1617796529353,-91.6983711521893,-89.0649763422799,-76.1742027439916
0,1.38461538461538,4,0,-84.3345210918384,-92.2417083874337,-88.7295571370313,-75.5937235332085
0,1.53846153846154,4,0,-86.2774517812876,-92.854962042437,-88.5653900575435,-75.9855623510949
0,1.69230769230769,4,0,-88.025934693302,-93.519764897799,-88.5838058127878,-77.2176768596223
0,1.84615384615385,4,0,-89.6107008889415,-94.2199253920534,-88.7835057343348,-78.9553238244137
0,2,4,0,-91.0570999667408,-94.94186492246,-89.150853299645,-80.8905653618937
0.153846153846154,0,1,1,-71.8422985827096,-90.2616938199091,-94.2199253920534,-89.2904757106229
0.153846153846154,0.153846153846154,1,0,-67.2604967729802,-89.7422463417422,-93.2945914792942,-87.6923066177776
0.153846153846154,0.307692307692308,1,0,-62.9650526429347,-89.3531075926829,-92.3548861605763,-85.9341625489046
0.153846153846154,0.461538461538462,1,0,-62.422344216071,-89.116618128939,-91.4115085691999,-83.9902834753831
0.153846153846154,0.615384615384615,1,0,-66.3071091717902,-89.0476846422608,-90.4801053537955,-81.835501289251
0.153846153846154,0.769230769230769,1,0,-70.9741364651198,-89.150853299645,-89.5825040790227,-79.4566649123618
0.153846153846154,0.923076923076923,1,0,-75.0199114124264,-89.4193544525622,-88.7475823138562,-76.8854213584566
0.153846153846154,1.07692307692308,4,1,-78.3839882268088,-89.8365145195539,-88.0110813384256,-74.2811286847929
0.153846153846154,1.23076923076923,4,0,-81.210653079138,-90.3789555625686,-87.4134422837723,-72.084630790479
0.153846153846154,1.38461538461538,4,0,-83.6298205824615,-91.0204045399546,-86.9949396851499,-71.0655232182042
0.153846153846154,1.53846153846154,4,0,-85.7365715657604,-91.7350071937095,-86.7884149983881,-71.7597845112632
0.153846153846154,1.69230769230769,4,0,-87.5987335842747,-92.4995572997054,-86.8116394894226,-73.7882702959132
0.153846153846154,1.84615384615385,4,0,-89.2652786517797,-93.2945914792942,-87.0625604017773,-76.3583026114703
0.153846153846154,2,4,0,-90.7723151058137,-94.1046141768716,-87.5198719992702,-78.9553238244137
0.307692307692308,0,1,1,-69.7827731464606,-88.8192612288973,-93.519764897799,-88.8770097715076
